t,Qi(t),H(t)
2361,"40,60364516","22,31543306"
2364,"40,60364516","22,31670858"
2367,"40,60364516","22,31797512"
2370,"40,60364516","22,31923275"
2373,"40,60364516","22,32048154"
2376,"40,60364516","22,32172155"
2379,"40,60364516","22,32295283"
2382,"40,60364516","22,32417546"
2385,"40,60364516","22,3253895"
2388,"40,60364516","22,32659502"
2391,"40,60364516","22,32779206"
2394,"40,60364516","22,3289807"
2397,"40,60364516","22,33016099"
2400,"40,60364516","22,331333"
2403,"40,60364516","22,33249679"
2406,"40,60364516","22,33365241"
2409,"40,60364516","22,33479992"
2412,"40,60364516","22,33593939"
2415,"40,60364516","22,33707087"
2418,"40,60364516","22,33819442"
2421,"40,60364516","22,3393101"
2424,"40,60364516","22,34041796"
2427,"40,60364516","22,34151806"
2430,"40,60364516","22,34261045"
2433,"40,60364516","22,3436952"
2436,"40,60364516","22,34477235"
2439,"40,60364516","22,34584197"
2442,"40,60364516","22,3469041"
2445,"40,60364516","22,34795881"
2448,"40,60364516","22,34900613"
2451,"40,60364516","22,35004613"
2454,"40,60364516","22,35107887"
2457,"40,60364516","22,35210438"
2460,"40,60364516","22,35312273"
2463,"40,60364516","22,35413396"
2466,"40,60364516","22,35513813"
2469,"40,60364516","22,35613529"
2472,"40,60364516","22,35712548"
2475,"40,60364516","22,35810876"
2478,"40,60364516","22,35908518"
2481,"40,60364516","22,36005478"
2484,"40,60364516","22,36101762"
2487,"40,60364516","22,36197374"
2490,"40,60364516","22,3629232"
2493,"40,60364516","22,36386603"
2496,"40,60364516","22,36480229"
2499,"40,60364516","22,36573203"
2502,"27,06909677","22,36665528"
2505,"27,06909677","22,26411928"
2508,"27,06909677","22,16135422"
2511,"27,06909677","22,05836145"
